repo,score,severity,rec,crit,high,med,low,files,per_file,coverage,status,total
zhaoxuya520/reverse-skill,100,CRITICAL,DO_NOT_INSTALL,60,1046,524,6,596,1.856,0.0,partial,1636
anthropics/claude-plugins-community,100,CRITICAL,DO_NOT_INSTALL,0,73,50,2,122,0.598,90.2,partial,125
witt3rd/oh-my-hermes,100,CRITICAL,DO_NOT_INSTALL,0,61,69,0,121,0.504,99.2,partial,130
mukul975/Anthropic-Cybersecurity-Skills,100,CRITICAL,DO_NOT_INSTALL,77,517,722,17,1274,0.466,0.0,partial,1333
ayghri/i-have-adhd,100,CRITICAL,DO_NOT_INSTALL,0,26,191,1,62,0.419,100.0,complete,218
cathrynlavery/diagram-design,100,CRITICAL,DO_NOT_INSTALL,0,107,92,1,426,0.251,97.4,partial,200
Graphify-Labs/graphify,100,CRITICAL,DO_NOT_INSTALL,0,200,305,16,880,0.227,0.0,partial,521
humanlayer/skills,100,CRITICAL,DO_NOT_INSTALL,0,8,8,0,36,0.222,94.4,partial,16
mksglu/context-mode,100,CRITICAL,DO_NOT_INSTALL,0,124,216,16,587,0.211,0.0,partial,356
DietrichGebert/ponytail,100,CRITICAL,DO_NOT_INSTALL,0,32,65,5,156,0.205,92.9,partial,102
openai/skills,100,CRITICAL,DO_NOT_INSTALL,0,154,627,12,750,0.205,0.0,partial,793
aerovato/magic-compact,100,CRITICAL,DO_NOT_INSTALL,0,13,10,17,65,0.2,78.5,partial,40
blader/humanizer,47,MEDIUM,CAUTION,0,2,3,0,10,0.2,100.0,partial,5
addyosmani/agent-skills,100,CRITICAL,DO_NOT_INSTALL,0,39,136,2,198,0.197,95.5,partial,177
virgiliojr94/book-to-skill,100,CRITICAL,DO_NOT_INSTALL,0,18,60,5,103,0.175,98.1,partial,83
JetBrains/go-modern-guidelines,64,HIGH,DO_NOT_INSTALL,0,6,3,0,36,0.167,100.0,complete,9
daymade/claude-code-skills,100,CRITICAL,DO_NOT_INSTALL,1,146,703,15,1047,0.14,0.0,partial,865
affaan-m/ECC,100,CRITICAL,DO_NOT_INSTALL,1,332,1352,30,3656,0.091,0.0,partial,1715
mattpocock/skills,100,CRITICAL,DO_NOT_INSTALL,0,14,24,2,165,0.085,98.2,partial,40
harryvondiesel-web/5-persona-advisory-board,44,MEDIUM,CAUTION,0,1,5,0,14,0.071,100.0,partial,6
RiyaParikh0112/vibe-coding-playbook,29,MEDIUM,CAUTION,0,1,4,0,17,0.059,100.0,complete,5
JuliusBrussee/caveman,100,CRITICAL,DO_NOT_INSTALL,0,67,403,21,1326,0.051,0.0,partial,491
tt-a1i/archify,100,CRITICAL,DO_NOT_INSTALL,0,19,17,2,592,0.032,17.7,partial,38
openai/plugins,100,CRITICAL,DO_NOT_INSTALL,9,96,1454,27,5244,0.02,0.0,partial,1586
freestylefly/awesome-gpt-image-2,100,CRITICAL,DO_NOT_INSTALL,1,1,20,0,461,0.004,12.1,partial,22
K-Dense-AI/scientific-agent-skills,100,CRITICAL,DO_NOT_INSTALL,0,6,5,2,2421,0.002,0.8,partial,13
heygen-com/hyperframes,24,MEDIUM,CAUTION,0,0,19,0,4,0.0,100.0,complete,19
jakubkrehel/make-interfaces-feel-better,20,LOW,SAFE,0,0,4,0,13,0.0,100.0,complete,4
millwright-labs/minto-pyramid-skill,25,MEDIUM,CAUTION,0,0,4,0,12,0.0,91.7,partial,4
